session_id,timestamp,heart_rate,hr_zone,activity_type,effort_pct,recovery_score,stress_index,session_minute,moment_type,assigned_verse_id,translation
S001,00:00:00,68,1,running,0.10,72,1.1,0,pre_workout,PSA.118.24,NIV
S001,00:02:30,142,3,running,0.61,72,2.8,2,steady_state,PSA.23.4,NIV
S001,00:04:12,162,4,running,0.78,72,3.2,4,breakthrough_wall,PHI.4.13,NIV
S001,00:06:00,168,4,running,0.83,72,3.7,6,breakthrough_wall,JOS.1.9,NIV
S001,00:08:45,174,5,running,0.91,72,4.1,8,peak_effort,ISA.40.31,NIV
S001,00:10:00,155,4,running,0.73,72,3.4,10,steady_state,PSA.23.4,NIV
S001,00:12:30,145,3,running,0.62,72,2.8,12,steady_state,PSA.23.4,NIV
S001,00:15:00,158,4,running,0.76,72,3.5,15,steady_state,PRO.3.5,NIV
S001,00:18:00,170,4,running,0.85,72,4.0,18,breakthrough_wall,PHI.4.13,NIV
S001,00:20:00,178,5,running,0.92,72,4.5,20,peak_effort,ISA.40.31,NIV
S001,00:22:00,165,4,running,0.82,72,4.2,22,finishing_strong,GAL.6.9,NIV
S001,00:25:00,148,3,running,0.65,72,3.0,25,steady_state,PSA.23.4,NIV
S001,00:28:00,172,4,running,0.88,72,4.3,28,finishing_strong,GAL.6.9,NIV
S001,00:30:00,75,1,running,0.15,72,1.3,30,post_workout,1CO.9.24,NIV
S002,00:00:00,70,1,cycling,0.12,61,1.2,0,pre_workout,PSA.118.24,ESV
S002,00:02:05,155,4,cycling,0.74,61,3.8,2,early_push,JOS.1.9,ESV
S002,00:04:00,162,4,cycling,0.79,61,4.0,4,early_push,JOS.1.9,ESV
S002,00:06:18,178,5,cycling,0.94,61,5.0,6,peak_effort,ROM.8.37,ESV
S002,00:08:00,165,4,cycling,0.82,61,4.2,8,breakthrough_wall,PHI.4.13,ESV
S002,00:09:40,132,2,cycling,0.51,61,2.1,9,recovery_window,PSA.46.10,ESV
S002,00:11:00,145,3,cycling,0.63,61,2.9,11,steady_state,PSA.23.4,ESV
